Chart Recorder Data File Fri, Oct 23, 2015 11:14 AM
Time (s)	CH1 (V)  
11:00:23.944	0.603137
11:00:24.044	0.603457
11:00:24.144	0.604414
11:00:24.244	0.604414
11:00:24.344	0.604733
11:00:24.444	0.604414
11:00:24.544	0.605372
11:00:24.644	0.604414
11:00:24.744	0.605052
11:00:24.844	0.605052
11:00:24.944	0.606010
11:00:25.044	0.606010
11:00:25.144	0.605372
11:00:25.244	0.606010
11:00:25.344	0.606329
11:00:25.444	0.606968
11:00:25.544	0.606968
11:00:25.644	0.607606
11:00:25.744	0.607606
11:00:25.844	0.607606
11:00:25.944	0.608563
11:00:26.044	0.607925
11:00:26.144	0.608883
11:00:26.244	0.608563
11:00:26.344	0.609202
11:00:26.444	0.608883
11:00:26.544	0.609202
11:00:26.644	0.608883
11:00:26.744	0.608883
11:00:26.844	0.608883
11:00:26.944	0.610159
11:00:27.044	0.609840
11:00:27.144	0.610159
11:00:27.244	0.609521
11:00:27.344	0.610159
11:00:27.444	0.610478
11:00:27.544	0.610798
11:00:27.644	0.610798
11:00:27.744	0.611117
11:00:27.844	0.611436
11:00:27.944	0.612074
11:00:28.044	0.612713
11:00:28.144	0.612713
11:00:28.244	0.613032
11:00:28.344	0.612394
11:00:28.444	0.612713
11:00:28.544	0.613032
11:00:28.644	0.613351
11:00:28.744	0.613351
11:00:28.844	0.613989
11:00:28.944	0.613351
11:00:29.044	0.613351
11:00:29.144	0.613989
11:00:29.244	0.613351
11:00:29.343	0.614309
11:00:29.443	0.613989
11:00:29.543	0.614309
11:00:29.643	0.614628
11:00:29.743	0.614309
11:00:29.843	0.615266
11:00:29.943	0.615904
11:00:30.043	0.615585
11:00:30.143	0.616224
11:00:30.243	0.615585
11:00:30.343	0.616224
11:00:30.443	0.615904
11:00:30.543	0.616543
11:00:30.643	0.617181
11:00:30.743	0.617181
11:00:30.843	0.618139
11:00:30.943	0.617819
11:00:31.043	0.617819
11:00:31.143	0.618139
11:00:31.243	0.618777
11:00:31.343	0.618458
11:00:31.443	0.618777
11:00:31.543	0.617819
11:00:31.643	0.618458
11:00:31.743	0.618458
11:00:31.843	0.619415
11:00:31.943	0.618458
11:00:32.043	0.619415
11:00:32.143	0.619096
11:00:32.243	0.619096
11:00:32.343	0.620373
11:00:32.443	0.620373
11:00:32.543	0.619415
11:00:32.643	0.620373
11:00:32.744	0.620692
11:00:32.844	0.621969
11:00:32.944	0.621650
11:00:33.044	0.621650
11:00:33.144	0.621650
11:00:33.244	0.621969
11:00:33.344	0.622288
11:00:33.444	0.622288
11:00:33.544	0.622607
11:00:33.644	0.622607
11:00:33.744	0.622926
11:00:33.844	0.623565
11:00:33.944	0.622607
11:00:34.044	0.623884
11:00:34.144	0.623884
11:00:34.244	0.624522
11:00:34.344	0.624522
11:00:34.444	0.624841
11:00:34.544	0.624841
11:00:34.644	0.624522
11:00:34.744	0.624841
11:00:34.844	0.624841
11:00:34.944	0.625799
11:00:35.044	0.624841
11:00:35.144	0.625799
11:00:35.244	0.626118
11:00:35.344	0.626437
11:00:35.444	0.626756
11:00:35.544	0.627395
11:00:35.644	0.627076
11:00:35.744	0.627076
11:00:35.844	0.627395
11:00:35.944	0.628033
11:00:36.044	0.627395
11:00:36.144	0.627395
11:00:36.244	0.627395
11:00:36.344	0.627714
11:00:36.444	0.629310
11:00:36.544	0.629310
11:00:36.644	0.628991
11:00:36.744	0.628991
11:00:36.844	0.629629
11:00:36.944	0.629310
11:00:37.044	0.629310
11:00:37.144	0.629310
11:00:37.244	0.629948
11:00:37.344	0.630586
11:00:37.444	0.630586
11:00:37.544	0.631225
11:00:37.644	0.631225
11:00:37.744	0.630586
11:00:37.844	0.631225
11:00:37.944	0.631544
11:00:38.044	0.631544
11:00:38.144	0.631544
11:00:38.244	0.631544
11:00:38.344	0.632821
11:00:38.444	0.632182
11:00:38.544	0.633140
11:00:38.644	0.633140
11:00:38.744	0.633459
11:00:38.844	0.633459
11:00:38.944	0.633140
11:00:39.044	0.634417
11:00:39.144	0.633459
11:00:39.244	0.634097
11:00:39.344	0.634097
11:00:39.444	0.634097
11:00:39.544	0.634417
11:00:39.644	0.634097
