112.35	1.301	0.750
112.90	1.302	0.753
113.45	1.292	0.753
114.00	1.280	0.758
114.56	1.272	0.764
115.11	1.269	0.764
115.66	1.276	0.764
116.21	1.286	0.761
116.76	1.296	0.750
117.32	1.301	0.761
117.87	1.295	0.764
118.42	1.282	0.753
118.97	1.274	0.758
119.52	1.269	0.758
120.08	1.270	0.758
120.63	1.279	0.750
121.18	1.288	0.758
121.73	1.298	0.770
122.28	1.296	0.764
122.84	1.288	0.758
123.39	1.278	0.767
123.94	1.269	0.764
124.49	1.267	0.761
125.05	1.274	0.770
125.60	1.285	0.773
126.15	1.295	0.770
126.70	1.298	0.770
127.25	1.294	0.770
127.81	1.281	0.761
128.36	1.271	0.770
128.91	1.266	0.770
129.46	1.269	0.755
130.01	1.276	0.770
130.56	1.286	0.761
131.12	1.294	0.744
131.67	1.295	0.767
132.22	1.285	0.753
132.77	1.276	0.750
133.32	1.265	0.770
133.88	1.263	0.761
134.43	1.267	0.750
134.98	1.276	0.761
135.53	1.285	0.770
136.08	1.293	0.767
136.64	1.288	0.767
137.19	1.280	0.773
137.74	1.270	0.767
138.29	1.261	0.758
138.84	1.262	0.755
139.40	1.267	0.761
139.95	1.276	0.758
140.50	1.288	0.758
141.05	1.291	0.758
141.61	1.286	0.770
142.16	1.278	0.767
142.71	1.269	0.755
143.26	1.262	0.761
143.81	1.264	0.767
144.37	1.271	0.767
144.92	1.280	0.761
145.47	1.290	0.767
146.02	1.290	0.770
146.57	1.284	0.761
147.12	1.274	0.770
147.68	1.266	0.755
148.23	1.261	0.767
148.78	1.261	0.767
149.33	1.270	0.761
149.88	1.279	0.761
150.44	1.288	0.770
150.99	1.292	0.767
151.54	1.284	0.747
152.09	1.277	0.750
152.64	1.267	0.776
153.20	1.264	0.767
153.75	1.265	0.770
154.30	1.273	0.778
154.85	1.283	0.764
155.40	1.290	0.755
155.96	1.293	0.767
156.51	1.286	0.764
157.06	1.278	0.764
157.61	1.266	0.758
158.17	1.262	0.767
158.72	1.266	0.761
159.27	1.271	0.761
159.82	1.279	0.758
160.37	1.289	0.764
160.93	1.291	0.758
161.48	1.286	0.758
162.03	1.278	0.758
162.58	1.268	0.758
163.13	1.261	0.764
163.69	1.260	0.767
164.24	1.265	0.770
164.79	1.274	0.755
165.34	1.282	0.764
165.89	1.288	0.761
166.44	1.284	0.764
167.00	1.275	0.764
167.55	1.266	0.761
168.10	1.258	0.755
168.65	1.257	0.758
169.20	1.263	0.773
169.76	1.272	0.773
170.31	1.280	0.770
170.86	1.286	0.773
171.41	1.285	0.755
171.96	1.276	0.767
172.52	1.267	0.776
173.07	1.259	0.778
173.62	1.257	0.761
174.17	1.262	0.770
174.72	1.270	0.767
175.28	1.280	0.764
175.83	1.285	0.770
176.38	1.285	0.770
176.93	1.278	0.764
177.49	1.269	0.758
178.04	1.260	0.761
178.59	1.257	0.770
179.14	1.261	0.770
179.69	1.272	0.767
180.25	1.280	0.767
180.80	1.287	0.764
181.35	1.290	0.770
181.90	1.282	0.776
182.45	1.272	0.767
183.00	1.265	0.773
183.56	1.260	0.767
184.11	1.261	0.781
184.66	1.269	0.778
185.21	1.277	0.767
185.76	1.285	0.764
186.32	1.287	0.773
186.87	1.279	0.770
187.42	1.271	0.767
187.97	1.263	0.770
